country_name,exposure_g4,exposure_g3_g4,isco4_share,isco6_share,year,total_emp
Afghanistan,0.4729417967198679,1.6090798719036667,0.148035361011207,49.08103239720758,2021,7427.955
Albania,1.3863504516972793,4.8137272498423105,1.9805995340565405,31.44370730896885,2023,1324.1949999999997
Algeria,3.0266681110342226,7.332212748892291,7.258853453335942,6.153394639013891,2014,10222
Angola,0.9376276568877548,2.236276953708157,0.6675244864608442,51.713262192199885,2022,11581.297999999999
Argentina,4.4017831271295025,10.669310982343703,11.748229961553607,0.2368107166549253,2024,12164.99
Armenia,1.8372116690349205,6.312784855556278,3.402607825849737,30.308167049511525,2017,1011.724
Australia,3.7165192653245915,12.008743559539424,8.806426458684449,1.9475382127945904,2024,14422.001999999999
Austria,4.0071761002122885,12.591845374265764,9.524442855281054,2.75197800716683,2024,4488.735
Azerbaijan,2.175297177212747,6.804010638244523,4.909991527080754,29.759999130982646,2014,4602.9
Bahamas,3.7810209279644376,9.107821890444336,9.343108615653097,1.9599567510148335,2019,210.872
Bangladesh,0.8231020936556307,2.1991974493171367,1.0063915817678737,41.21873863365036,2024,67944.527
Barbados,3.4427908224922565,9.375672542897407,8.09004044578675,3.0696409332556214,2023,113.23799999999999
Belarus,1.9860787503010446,8.0546780001278009,3.105536202350956,2.6421154266255997,2024,4797.368
Belgium,4.3746672304980905,13.99191857383299,11.14149203231382,1.1285432835325797,2024,5064.582
Belize,2.982280441080101,6.832223506830842,7.063632466505257,7.305748597718916,2019,165.623
Benin,1.1092100557600428,2.0010893163072896,0.9888688870595556,42.65997059553503,2022,5443.391
Bhutan,1.2813508069596808,4.127015065876524,2.661928080194246,41.45847180586265,2024,368.60499999999996
Bolivia (Plurinational State of),1.8021626650068419,4.606283806962728,3.2428844198523175,22.478779714299492,2024,6822.598999999999
Bosnia and Herzegovina,2.651746701134544,8.0072208889109,5.968372411786384,13.045253904706621,2024,1354.071
Botswana,1.8775859647613407,5.11102853763113,3.745499958139145,17.146438571521596,2024,859.992
