isco4,exp_mean,exp_sd,mean_minus_sd,gradient,gradient_label
4132,0.7,0.03,0.6699999999999999,4,Gradient 4: Very High
4131,0.65,0.05,0.6,4,Gradient 4: Very High
4311,0.64,0.07,0.5700000000000001,4,Gradient 4: Very High
4312,0.64,0.02,0.62,4,Gradient 4: Very High
3311,0.63,0.04,0.59,4,Gradient 4: Very High
4419,0.63,0.03,0.6,4,Gradient 4: Very High
2413,0.62,0.06,0.56,4,Gradient 4: Very High
4313,0.61,0.08,0.53,4,Gradient 4: Very High
5244,0.61,0.1,0.51,4,Gradient 4: Very High
2513,0.6,0.08,0.52,4,Gradient 4: Very High
3312,0.6,0.04,0.5599999999999999,4,Gradient 4: Very High
4110,0.6,0.1,0.5,4,Gradient 4: Very High
4416,0.6,0.09,0.51,4,Gradient 4: Very High
2643,0.59,0.11,0.48,3,Gradient 3: High
4120,0.58,0.1,0.48,3,Gradient 3: High
4211,0.58,0.09,0.49,3,Gradient 3: High
4222,0.58,0.06,0.52,3,Gradient 3: High
4414,0.58,0.08,0.49999999999999994,3,Gradient 3: High
2412,0.57,0.11,0.45999999999999996,3,Gradient 3: High
2514,0.57,0.08,0.48999999999999994,3,Gradient 3: High
2521,0.57,0.08,0.48999999999999994,3,Gradient 3: High
2522,0.57,0.05,0.5199999999999999,3,Gradient 3: High
3314,0.57,0.1,0.47,3,Gradient 3: High
3331,0.57,0.09,0.48,3,Gradient 3: High
4225,0.57,0.09,0.48,3,Gradient 3: High
4226,0.57,0.17,0.3999999999999999,2,Gradient 2: Medium
2120,0.56,0.09,0.4700000000000001,3,Gradient 3: High
4221,0.56,0.07,0.49000000000000005,3,Gradient 3: High
2431,0.55,0.09,0.4600000000000001,3,Gradient 3: High
2519,0.55,0.16,0.39,2,Gradient 2: Medium
2622,0.55,0.04,0.51,3,Gradient 3: High
2631,0.55,0.08,0.47000000000000003,3,Gradient 3: High
2641,0.55,0.09,0.4600000000000001,3,Gradient 3: High
3342,0.55,0.13,0.42000000000000004,3,Gradient 3: High
4227,0.55,0.16,0.39,2,Gradient 2: Medium
2112,0.54,0.13,0.41000000000000003,3,Gradient 3: High
2642,0.54,0.1,0.44000000000000006,3,Gradient 3: High
3343,0.54,0.14,0.4,3,Gradient 3: High
4223,0.54,0.15,0.39,2,Gradient 2: Medium
2512,0.53,0.07,0.46,3,Gradient 3: High
3321,0.53,0.12,0.41000000000000003,3,Gradient 3: High
3344,0.53,0.11,0.42000000000000004,3,Gradient 3: High
3514,0.53,0.12,0.41000000000000003,3,Gradient 3: High
2523,0.52,0.06,0.46,3,Gradient 3: High
3252,0.52,0.1,0.42000000000000004,3,Gradient 3: High
2411,0.51,0.08,0.43,3,Gradient 3: High
2434,0.51,0.09,0.42000000000000004,3,Gradient 3: High
4224,0.51,0.07,0.44,3,Gradient 3: High
4413,0.51,0.2,0.31,2,Gradient 2: Medium
2433,0.5,0.1,0.4,3,Gradient 3: High
4323,0.5,0.1,0.4,3,Gradient 3: High
2166,0.49,0.09,0.4,2,Gradient 2: Medium
2511,0.49,0.05,0.44,2,Gradient 2: Medium
2529,0.49,0.06,0.43,2,Gradient 2: Medium
